Count;Name;Angle;Color;Delta X;Delta Y;Delta Z;End X;End Y;End Z;Hyperlink;Layer;Length;Linetype;Linetype Scale;Lineweight;Plot Style;Start X;Start Y;Start Z;Thickness
1;Line;16.42;ByLayer;22.5747;6.6533;0.0000;12094.6270;8446.4781;0.0000;;L_10;23.5347;ByLayer;1.0000;ByLayer;ByLayer;12072.0523;8439.8249;0.0000;0.0000
1;Line;10.37;ByLayer;23.5273;4.3058;0.0000;12072.0523;8439.8249;0.0000;;L_10;23.9180;ByLayer;1.0000;ByLayer;ByLayer;12048.5250;8435.5191;0.0000;0.0000
1;Line;23.11;ByLayer;21.1105;9.0074;0.0000;12115.7375;8455.4855;0.0000;;L_10;22.9518;ByLayer;1.0000;ByLayer;ByLayer;12094.6270;8446.4781;0.0000;0.0000
1;Line;39.21;ByLayer;16.8744;13.7692;0.0000;12151.6443;8480.5514;0.0000;;L_10;21.7793;ByLayer;1.0000;ByLayer;ByLayer;12134.7699;8466.7823;0.0000;0.0000
1;Line;30.69;ByLayer;19.0324;11.2968;0.0000;12134.7699;8466.7823;0.0000;;L_10;22.1325;ByLayer;1.0000;ByLayer;ByLayer;12115.7375;8455.4855;0.0000;0.0000
1;Line;4.69;ByLayer;23.9682;1.9649;0.0000;12048.5250;8435.5191;0.0000;;L_10;24.0486;ByLayer;1.0000;ByLayer;ByLayer;12024.5568;8433.5543;0.0000;0.0000
1;Line;343.86;ByLayer;22.1082;-6.3976;0.0000;11954.6588;8441.3482;0.0000;;L_10;23.0152;ByLayer;1.0000;ByLayer;ByLayer;11932.5506;8447.7458;0.0000;0.0000
1;Line;340.61;ByLayer;21.6951;-7.6378;0.0000;11932.5506;8447.7458;0.0000;;L_10;23.0003;ByLayer;1.0000;ByLayer;ByLayer;11910.8555;8455.3835;0.0000;0.0000
1;Line;348.18;ByLayer;22.6589;-4.7440;0.0000;11977.3177;8436.6042;0.0000;;L_10;23.1502;ByLayer;1.0000;ByLayer;ByLayer;11954.6588;8441.3482;0.0000;0.0000
1;Line;358.06;ByLayer;32.7470;-1.1095;0.0000;12024.5568;8433.5543;0.0000;;L_10;32.7658;ByLayer;1.0000;ByLayer;ByLayer;11991.8098;8434.6637;0.0000;0.0000
1;Line;352.37;ByLayer;14.4921;-1.9405;0.0000;11991.8098;8434.6637;0.0000;;L_10;14.6215;ByLayer;1.0000;ByLayer;ByLayer;11977.3177;8436.6042;0.0000;0.0000
1;Line;78.57;ByLayer;5.0330;24.8829;0.0000;12223.5137;8649.5010;0.0000;;L_10;25.3868;ByLayer;1.0000;ByLayer;ByLayer;12218.4807;8624.6181;0.0000;0.0000
1;Line;76.74;ByLayer;5.7103;24.2376;0.0000;12218.4807;8624.6181;0.0000;;L_10;24.9012;ByLayer;1.0000;ByLayer;ByLayer;12212.7705;8600.3805;0.0000;0.0000
1;Line;79.74;ByLayer;4.5815;25.3131;0.0000;12228.0952;8674.8141;0.0000;;L_10;25.7244;ByLayer;1.0000;ByLayer;ByLayer;12223.5137;8649.5010;0.0000;0.0000
1;Line;57.59;ByLayer;45.3367;71.4253;0.0000;10571.4125;8443.3935;0.0000;;L_10;84.5990;ByLayer;1.0000;ByLayer;ByLayer;10526.0758;8371.9681;0.0000;0.0000
1;Line;80.32;ByLayer;4.3557;25.5282;0.0000;12232.4510;8700.3423;0.0000;;L_10;25.8971;ByLayer;1.0000;ByLayer;ByLayer;12228.0952;8674.8141;0.0000;0.0000
1;Line;74.20;ByLayer;6.6133;23.3772;0.0000;12212.7705;8600.3805;0.0000;;L_10;24.2946;ByLayer;1.0000;ByLayer;ByLayer;12206.1572;8577.0033;0.0000;0.0000
1;Line;54.94;ByLayer;12.4829;17.7847;0.0000;12178.6418;8514.1849;0.0000;;L_10;21.7282;ByLayer;1.0000;ByLayer;ByLayer;12166.1589;8496.4002;0.0000;0.0000
1;Line;47.52;ByLayer;14.5146;15.8488;0.0000;12166.1589;8496.4002;0.0000;;L_10;21.4909;ByLayer;1.0000;ByLayer;ByLayer;12151.6443;8480.5514;0.0000;0.0000
1;Line;61.30;ByLayer;10.6768;19.5055;0.0000;12189.3186;8533.6904;0.0000;;L_10;22.2364;ByLayer;1.0000;ByLayer;ByLayer;12178.6418;8514.1849;0.0000;0.0000
1;Line;70.86;ByLayer;7.7420;22.3017;0.0000;12206.1572;8577.0033;0.0000;;L_10;23.6073;ByLayer;1.0000;ByLayer;ByLayer;12198.4152;8554.7015;0.0000;0.0000
1;Line;66.59;ByLayer;9.0966;21.0111;0.0000;12198.4152;8554.7015;0.0000;;L_10;22.8958;ByLayer;1.0000;ByLayer;ByLayer;12189.3186;8533.6904;0.0000;0.0000
1;Line;338.44;ByLayer;21.4197;-8.4646;0.0000;11910.8555;8455.3835;0.0000;;L_10;23.0316;ByLayer;1.0000;ByLayer;ByLayer;11889.4358;8463.8481;0.0000;0.0000
1;Line;268.76;ByLayer;-0.8494;-39.0958;0.0000;12094.6368;6671.7575;0.0000;;L_8;39.1051;ByLayer;1.0000;ByLayer;ByLayer;12095.4863;6710.8533;0.0000;0.0000
1;Line;269.21;ByLayer;-0.5324;-38.8567;0.0000;12095.4863;6710.8533;0.0000;;L_8;38.8603;ByLayer;1.0000;ByLayer;ByLayer;12096.0187;6749.7101;0.0000;0.0000
1;Line;268.31;ByLayer;-1.1574;-39.3282;0.0000;12093.4794;6632.4293;0.0000;;L_8;39.3452;ByLayer;1.0000;ByLayer;ByLayer;12094.6368;6671.7575;0.0000;0.0000
1;Line;280.21;ByLayer;24.2372;-134.5156;0.0000;11892.3908;8338.2104;0.0000;;L_9;136.6817;ByLayer;1.0000;ByLayer;ByLayer;11868.1537;8472.7261;0.0000;0.0000
1;Line;267.89;ByLayer;-1.4565;-39.5538;0.0000;12092.0230;6592.8755;0.0000;;L_8;39.5806;ByLayer;1.0000;ByLayer;ByLayer;12093.4794;6632.4293;0.0000;0.0000
